core_diameter_mm,shell_thickness_mm,energy_density_wh_per_l,reserve_fraction,round_trip_efficiency,active_duty_cycle,load_power_mw,storage_volume_l,usable_energy_wh,required_energy_wh,margin_wh,status
10,0.5,100,0.2,0.6,0.25,10,0.00017331119472303673,0.008318937346705763,0.0015,0.006818937346705764,PASS
10,0.5,100,0.2,0.6,0.5,10,0.00017331119472303673,0.008318937346705763,0.003,0.005318937346705763,PASS
10,0.5,100,0.2,0.75,0.1,10,0.00017331119472303673,0.010398671683382205,0.0006,0.009798671683382205,PASS
10,0.5,100,0.2,0.75,0.25,10,0.00017331119472303673,0.010398671683382205,0.0015,0.008898671683382205,PASS
10,0.5,100,0.2,0.75,0.5,10,0.00017331119472303673,0.010398671683382205,0.003,0.007398671683382205,PASS
10,0.5,100,0.2,0.9,0.1,10,0.00017331119472303673,0.012478406020058647,0.0006,0.011878406020058647,PASS
10,0.5,100,0.2,0.9,0.25,10,0.00017331119472303673,0.012478406020058647,0.0015,0.010978406020058647,PASS
10,0.5,100,0.2,0.9,0.5,10,0.00017331119472303673,0.012478406020058647,0.003,0.009478406020058647,PASS
10,0.5,100,0.3,0.6,0.1,10,0.00017331119472303673,0.007279070178367542,0.0006,0.006679070178367543,PASS
10,0.5,100,0.3,0.6,0.25,10,0.00017331119472303673,0.007279070178367542,0.0015,0.005779070178367542,PASS
10,0.5,100,0.3,0.6,0.5,10,0.00017331119472303673,0.007279070178367542,0.003,0.004279070178367542,PASS
10,0.5,100,0.3,0.75,0.1,10,0.00017331119472303673,0.009098837722959429,0.0006,0.008498837722959429,PASS
10,0.5,100,0.3,0.75,0.25,10,0.00017331119472303673,0.009098837722959429,0.0015,0.007598837722959429,PASS
10,0.5,100,0.3,0.75,0.5,10,0.00017331119472303673,0.009098837722959429,0.003,0.006098837722959429,PASS
10,0.5,100,0.3,0.9,0.1,10,0.00017331119472303673,0.010918605267551314,0.0006,0.010318605267551314,PASS
10,0.5,100,0.3,0.9,0.25,10,0.00017331119472303673,0.010918605267551314,0.0015,0.009418605267551314,PASS
10,0.5,100,0.3,0.9,0.5,10,0.00017331119472303673,0.010918605267551314,0.003,0.007918605267551313,PASS
10,0.5,100,0.4,0.6,0.1,10,0.00017331119472303673,0.0062392030100293224,0.0006,0.005639203010029323,PASS
10,0.5,100,0.4,0.6,0.25,10,0.00017331119472303673,0.0062392030100293224,0.0015,0.004739203010029322,PASS
10,0.5,100,0.4,0.6,0.5,10,0.00017331119472303673,0.0062392030100293224,0.003,0.0032392030100293224,PASS
10,0.5,100,0.4,0.75,0.1,10,0.00017331119472303673,0.007799003762536654,0.0006,0.007199003762536654,PASS
10,0.5,100,0.4,0.75,0.25,10,0.00017331119472303673,0.007799003762536654,0.0015,0.0062990037625366545,PASS
10,0.5,100,0.4,0.75,0.5,10,0.00017331119472303673,0.007799003762536654,0.003,0.004799003762536654,PASS
10,0.5,100,0.4,0.9,0.1,10,0.00017331119472303673,0.009358804515043985,0.0006,0.008758804515043985,PASS
10,0.5,100,0.4,0.9,0.25,10,0.00017331119472303673,0.009358804515043985,0.0015,0.007858804515043985,PASS
10,0.5,100,0.4,0.9,0.5,10,0.00017331119472303673,0.009358804515043985,0.003,0.006358804515043985,PASS
10,0.5,200,0.1,0.6,0.1,10,0.00017331119472303673,0.018717609030087966,0.0006,0.018117609030087967,PASS
10,0.5,200,0.1,0.6,0.25,10,0.00017331119472303673,0.018717609030087966,0.0015,0.017217609030087965,PASS
10,0.5,200,0.1,0.6,0.5,10,0.00017331119472303673,0.018717609030087966,0.003,0.015717609030087967,PASS
10,0.5,200,0.1,0.75,0.1,10,0.00017331119472303673,0.02339701128760996,0.0006,0.02279701128760996,PASS
10,0.5,200,0.1,0.75,0.25,10,0.00017331119472303673,0.02339701128760996,0.0015,0.021897011287609958,PASS
10,0.5,200,0.1,0.75,0.5,10,0.00017331119472303673,0.02339701128760996,0.003,0.02039701128760996,PASS
10,0.5,200,0.1,0.9,0.1,10,0.00017331119472303673,0.02807641354513195,0.0006,0.02747641354513195,PASS
10,0.5,200,0.1,0.9,0.25,10,0.00017331119472303673,0.02807641354513195,0.0015,0.02657641354513195,PASS
10,0.5,200,0.1,0.9,0.5,10,0.00017331119472303673,0.02807641354513195,0.003,0.025076413545131952,PASS
10,0.5,200,0.2,0.6,0.1,10,0.00017331119472303673,0.016637874693411527,0.0006,0.016037874693411527,PASS
10,0.5,200,0.2,0.6,0.25,10,0.00017331119472303673,0.016637874693411527,0.0015,0.015137874693411527,PASS
10,0.5,200,0.2,0.6,0.5,10,0.00017331119472303673,0.016637874693411527,0.003,0.013637874693411527,PASS
10,0.5,200,0.2,0.75,0.1,10,0.00017331119472303673,0.02079734336676441,0.0006,0.02019734336676441,PASS
10,0.5,200,0.2,0.75,0.25,10,0.00017331119472303673,0.02079734336676441,0.0015,0.01929734336676441,PASS
10,0.5,200,0.2,0.75,0.5,10,0.00017331119472303673,0.02079734336676441,0.003,0.01779734336676441,PASS
